Date,Time,Open,High,Low,Close,Volume
2023/8/30,10:00:00,559,560,559,559,24
2023/8/30,10:01:00,559,559,559,559,14
2023/8/30,10:02:00,559,560,559,559,18
2023/8/30,10:03:00,559,560,559,559,31
2023/8/30,10:04:00,559,559,558,559,132
2023/8/30,10:05:00,558,559,558,559,5
2023/8/30,10:06:00,558,559,558,559,22
2023/8/30,10:07:00,559,559,559,559,0
2023/8/30,10:08:00,558,558,558,558,7
2023/8/30,10:09:00,559,559,558,558,9
2023/8/30,10:10:00,558,558,558,558,1
2023/8/30,10:11:00,559,559,558,558,3
2023/8/30,10:12:00,558,559,558,559,8
2023/8/30,10:13:00,559,559,558,559,15
2023/8/30,10:14:00,559,559,558,558,11
2023/8/30,10:15:00,558,558,558,558,2
2023/8/30,10:16:00,558,559,558,559,9
2023/8/30,10:17:00,558,559,558,558,5
2023/8/30,10:18:00,558,558,558,558,4
2023/8/30,10:19:00,558,559,558,558,7
2023/8/30,10:20:00,559,559,558,558,15
2023/8/30,10:21:00,558,559,558,558,8
2023/8/30,10:22:00,558,559,558,559,37
2023/8/30,10:23:00,558,559,558,559,8
2023/8/30,10:24:00,558,559,558,558,77
2023/8/30,10:25:00,558,559,558,559,25
2023/8/30,10:26:00,558,559,558,559,4
2023/8/30,10:27:00,559,559,559,559,2
2023/8/30,10:28:00,558,558,558,558,3
2023/8/30,10:29:00,558,559,558,559,62
2023/8/30,10:30:00,559,559,558,558,113
2023/8/30,10:31:00,558,558,558,558,51
2023/8/30,10:32:00,558,558,557,558,11
2023/8/30,10:33:00,558,558,557,558,15
2023/8/30,10:34:00,558,559,558,558,166
2023/8/30,10:35:00,558,558,558,558,5
2023/8/30,10:36:00,558,559,558,559,51
2023/8/30,10:37:00,558,558,557,558,11
2023/8/30,10:38:00,558,558,558,558,14
2023/8/30,10:39:00,558,559,558,559,42
2023/8/30,10:40:00,558,558,558,558,12
2023/8/30,10:41:00,558,559,558,558,13
2023/8/30,10:42:00,558,558,558,558,2
2023/8/30,10:43:00,558,558,558,558,3
2023/8/30,10:44:00,558,558,558,558,2
2023/8/30,10:45:00,558,558,558,558,2
2023/8/30,10:46:00,558,558,558,558,4
2023/8/30,10:47:00,558,558,557,557,6
2023/8/30,10:48:00,557,559,557,558,91
2023/8/30,10:49:00,558,558,558,558,40
2023/8/30,10:50:00,558,558,558,558,4
2023/8/30,10:51:00,558,558,558,558,21
2023/8/30,10:52:00,558,559,558,558,23
2023/8/30,10:53:00,558,558,557,557,12
2023/8/30,10:54:00,557,557,557,557,17
2023/8/30,10:55:00,558,558,558,558,2
2023/8/30,10:56:00,558,558,557,557,2
2023/8/30,10:57:00,557,557,557,557,2
2023/8/30,10:58:00,557,558,557,557,35
2023/8/30,10:59:00,557,557,557,557,4
2023/8/30,11:00:00,557,558,557,558,12
2023/8/30,11:01:00,557,557,556,557,474
2023/8/30,11:02:00,556,556,556,556,104
2023/8/30,11:03:00,556,556,556,556,4
2023/8/30,11:04:00,556,556,556,556,3
2023/8/30,11:05:00,556,556,556,556,26
2023/8/30,11:06:00,556,557,556,556,13
2023/8/30,11:07:00,556,557,556,556,10
2023/8/30,11:08:00,556,556,556,556,23
2023/8/30,11:09:00,556,556,556,556,20
2023/8/30,11:10:00,556,556,556,556,18
2023/8/30,11:11:00,556,557,556,556,59
2023/8/30,11:12:00,556,556,556,556,38
2023/8/30,11:13:00,556,557,556,557,5
2023/8/30,11:14:00,556,557,556,557,16
2023/8/30,11:15:00,556,556,556,556,7
2023/8/30,11:16:00,556,556,556,556,9
2023/8/30,11:17:00,556,556,556,556,15
2023/8/30,11:18:00,556,557,556,556,15
2023/8/30,11:19:00,557,557,556,556,2
2023/8/30,11:20:00,556,557,556,557,14
2023/8/30,11:21:00,557,557,556,556,23
2023/8/30,11:22:00,556,557,556,556,21
2023/8/30,11:23:00,556,557,556,557,11
2023/8/30,11:24:00,556,557,556,556,22
2023/8/30,11:25:00,556,557,556,556,12
2023/8/30,11:26:00,556,556,556,556,8
2023/8/30,11:27:00,556,556,556,556,22
2023/8/30,11:28:00,556,556,556,556,10
2023/8/30,11:29:00,556,556,556,556,6
2023/8/30,11:30:00,556,556,556,556,11
2023/8/30,11:31:00,556,556,556,556,19
2023/8/30,11:32:00,556,557,556,556,7
2023/8/30,11:33:00,556,556,556,556,8
2023/8/30,11:34:00,556,557,556,557,7
2023/8/30,11:35:00,556,557,556,557,15
2023/8/30,11:36:00,556,556,556,556,11
2023/8/30,11:37:00,556,557,556,556,9
2023/8/30,11:38:00,556,557,556,557,5
2023/8/30,11:39:00,556,557,556,556,7
2023/8/30,11:40:00,556,556,556,556,4
